"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"July","Atakumosa East","Osun",17.1793834828817,18.4358007670571,20.4649748420518,22.6049057599453,24.3076543561301,26.9127839022994,30.8785460060445,34.6910965920522
"July","Atakumosa West","Osun",17.7991903444929,19.1327883445933,21.2916477180758,23.5429351949783,25.334836908646,28.0285744682905,32.0623253509374,35.8586653664135
"July","Ayedaade","Osun",16.9858605251387,18.3028091270218,20.4045462890517,22.5943508287948,24.3393936490071,26.9903516502866,31.0283993705111,34.8778498002295
"July","Ayedire","Osun",15.8022152751414,17.2145810057802,19.4080954839015,21.6456038519878,23.4505892108887,26.074876749008,29.9471700844799,33.3299607865022
"July","Boluwaduro","Osun",13.5609601949057,14.6068490867965,16.3047200847669,18.1400599906126,19.6678966945119,21.8752367812058,25.1979828264174,28.4268047719926
"July","Boripe","Osun",16.7382685726674,18.1690149680878,20.5127606858072,22.9309805926303,24.9430018342424,27.7525637226232,31.6715748126566,34.9441048066397
"July","Ede North","Osun",19.7354473904598,21.5542510098255,24.5056829628694,27.4793276545944,29.9362233217845,33.3012889619749,37.7896369434322,41.1370688429526
"July","Ede South","Osun",20.2888275011339,22.1453350659495,25.1592407527183,28.1967923855994,30.7021314061606,34.1374168146587,38.721939872421,42.1572083501424
"July","Egbedore","Osun",20.4218079663504,22.245202798576,25.2258395810018,28.245569853353,30.7447391321654,34.1918926758492,38.8070593443039,42.1653000810312
"July","Ejigbo","Osun",17.380403628834,19.0496137563817,21.6679451985737,24.3052529270723,26.4776265765439,29.4946533870944,33.6411370326592,36.8975056742652
"July","Ife East","Osun",18.624772032245,19.9548170098291,22.1123888059569,24.3923366299703,26.1905654904244,28.9460430014684,33.1359430787447,37.1409860483691
"July","Ife North","Osun",17.3134705806931,18.5691434370706,20.6071036116614,22.7614931025276,24.487431307323,27.1432844023852,31.1957009154684,35.1009343777794
"July","Ife South","Osun",17.5765946849974,18.8642751196055,20.9513769688716,23.1383677765469,24.858668087762,27.4821480908781,31.4804568671656,35.3610345133977
"July","IfeCentral","Osun",18.3560003885986,19.681810732155,21.8240731157093,24.085445934614,25.8716910466219,28.6052014817127,32.7620804827607,36.7456471961403
"July","Ifedayo","Osun",11.8317076413686,13.1199666230162,15.1990700513849,17.2772547546313,18.988131699095,21.3972326518097,24.9727180762249,28.3911495932617
"July","Ifelodun","Osun",14.0986029908749,15.1771877305906,16.9972871148004,18.8927697122063,20.4343037407609,22.7305103651107,26.1898190796588,29.5125262406177
"July","Ila","Osun",11.95996005611,13.0686129641836,14.8898519612473,16.7981208261248,18.3494817545763,20.5687233952162,23.9348714495635,27.1867276342724
"July","Ilesha East","Osun",17.7843456766218,19.1853350719386,21.4838792777817,23.8619592491514,25.7963946087304,28.5800064913943,32.5837036212,36.1093359958579
"July","Ilesha West","Osun",20.7591578559682,22.681935456623,25.794442437803,28.9070803501899,31.4425321006457,34.8902497363956,39.4698877196331,42.8406581237016
"July","Irepodun","Osun",14.769278388527,15.8415333838984,17.7990369185339,19.8611874824862,21.4989604746758,23.9165932504825,27.520433745815,30.9374406816525
"July","Irewole","Osun",16.1832567398929,17.3578994301922,19.274968245188,21.3023379866701,22.942557088997,25.4746394640319,29.3557097301038,33.0980232029868
"July","Isokan","Osun",17.4147912859381,18.6849429824958,20.7513433087152,22.9269887686772,24.669936525358,27.3528319316012,31.4418034799182,35.374099567089
"July","Iwo","Osun",17.2606596991768,18.8392919351141,21.4003061819338,24.0154135648177,26.163772005241,29.1366446539618,33.2291337224792,36.4951920058446
"July","Obokun","Osun",20.663096676423,22.589348840671,25.7025577981674,28.8132055042253,31.3459285117038,34.7852734629251,39.3511461067784,42.6976746187086
"July","Odo0tin","Osun",11.6325772117776,12.7252452696718,14.5646172122388,16.4237687811564,17.9674869724651,20.1979758505459,23.5637787908409,26.7886666866982
"July","Ola-Oluwa","Osun",18.7363583723053,20.5005109616181,23.3544664267712,26.2320240861745,28.6143978516051,31.871275090008,36.2219978264719,39.5079514673337
"July","Olorunda","Osun",18.1915310497699,19.8021596193999,22.4856255174198,25.1834085422261,27.373094601721,30.41300408742,34.5785869484632,37.9140314270426
"July","Oriade","Osun",17.8837895354503,19.312312576886,21.6260566195066,24.0394059468277,25.9819598075854,28.8049144083855,32.8926674813501,36.4880399946401
"July","Orolu","Osun",15.4365764118338,16.8357480578317,18.9896596343816,21.1758421814112,22.9404199381181,25.5017550617917,29.2479217471109,32.5838979498172
"July","Osogbo","Osun",20.7372581644328,22.6396134627951,25.7292951796227,28.8233441414589,31.3437533643113,34.7759513161889,39.3386156107748,42.6983883395193
