"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"October","Atakumosa East","Osun",24.3877910342214,26.2823488748368,29.3807966856647,33.5051396778767,36.3434709497458,37.1025923336868,35.4572941388189,33.5992572863812
"October","Atakumosa West","Osun",24.6138220999886,26.5453117625708,29.6822176041251,33.8153025187685,36.6866224496496,37.7466757640814,36.3617133577678,33.9172061753168
"October","Ayedaade","Osun",24.4088502976863,26.253278645626,29.2846846137056,33.3694931326291,36.2581610176809,37.1753820115683,35.6644515416279,32.7775509035294
"October","Ayedire","Osun",24.8332249032675,26.7819316479849,29.9617596046872,34.1257890883878,37.0183219287582,38.2278598001054,36.932126998616,34.1205852496148
"October","Boluwaduro","Osun",23.3612047213713,25.2289502317076,28.3109000863118,32.3889621358416,35.2596691740909,36.2327825452658,34.6976925115891,31.519516343309
"October","Boripe","Osun",25.0006331897692,27.0676479972288,30.3289000549508,34.5024989599343,37.2624759024622,38.4071079254074,37.3325436579647,34.570349618389
"October","Ede North","Osun",25.6809453790635,27.8858485863904,31.2538263727443,35.4338444227829,38.0839913841355,39.4765645013222,38.9251249578268,36.72596531271
"October","Ede South","Osun",26.2468058042485,28.4869782142976,31.9109381648902,36.1690011552977,38.8725874120238,40.3559269289803,39.8533327566443,37.6371031460228
"October","Egbedore","Osun",26.1617171729384,28.3699696762621,31.7590958066873,35.9894740463389,38.6491530610753,39.9040815769196,39.1908432896298,36.8136870517132
"October","Ejigbo","Osun",25.4723949794844,27.565008629268,30.8479758462959,35.0284914481979,37.7395295176295,38.9556374283477,38.1024368814572,35.5763710945868
"October","Ife East","Osun",24.7077219082431,26.607728195929,29.7229762586749,33.8773323736488,36.8116792701134,37.8616169538629,36.4514428039242,34.0534282077301
"October","Ife North","Osun",24.3280949823588,26.1788068239736,29.2167591280726,33.3014928072991,36.2725310556744,37.4182757424084,35.9435331690872,33.2808011969073
"October","Ife South","Osun",24.4215741149413,26.314141622156,29.4097567843198,33.5356214944052,36.4678223196703,37.3952544412094,35.826151328141,33.7209483883924
"October","IfeCentral","Osun",24.6535944411794,26.5524610162989,29.6642854160169,33.8134412670518,36.7630157495647,37.8880547179923,36.4371341562665,33.9377996233401
"October","Ifedayo","Osun",23.8170146719517,25.7037306124786,28.8282601160088,32.981934273045,35.9440254722943,36.9748040605928,35.4268303167148,32.1155002996385
"October","Ifelodun","Osun",24.1538176067917,26.0234540417055,29.0976867822984,33.1833505104334,35.9767341674509,36.748568692941,35.1470767023185,31.9282377219345
"October","Ila","Osun",23.7979574931476,25.6697407240786,28.7816144905927,32.9245655493149,35.8258271243599,36.7281994168089,35.1555924799246,31.9215304742394
"October","Ilesha East","Osun",25.297173575562,27.3028890060986,30.5197109146167,34.6970034493074,37.4948426349642,38.5983526789138,37.3688269341785,34.6419609707957
"October","Ilesha West","Osun",26.7229300513214,28.9782281649756,32.4265335896394,36.7209448379982,39.416972031955,40.8553761968304,40.2790137243117,37.9534879996953
"October","Irepodun","Osun",24.304934657034,26.1856232420369,29.2768454714055,33.3725310811802,36.1704270279139,36.9701862172315,35.3848785695113,32.2374655685384
"October","Irewole","Osun",24.0272745253391,25.8411713566742,28.8213945384414,32.8506849250622,35.6245899301834,36.2992012420239,34.7522794409594,31.8185735591979
"October","Isokan","Osun",24.2913416533887,26.1216199206456,29.1365315800961,33.2052228334958,36.0126836404409,36.7072300174116,35.1476731684169,32.2354807964827
"October","Iwo","Osun",25.1617377529719,27.2295056240682,30.4644059538995,34.6069632307654,37.3763458296052,38.7228357848349,37.9385968199414,35.5289860282288
"October","Obokun","Osun",26.5522116079255,28.8054918490715,32.2451347192052,36.5249144252773,39.2152774181253,40.6396555971921,40.0601309976389,37.7436057124924
"October","Odo0tin","Osun",24.359688449613,26.2477388335716,29.389653883126,33.5843593431813,36.4682882626165,37.2935028334202,35.6984852694962,32.3553410729872
"October","Ola-Oluwa","Osun",25.2422519970388,27.3487165731298,30.6057950850404,34.7250318834766,37.4180095273377,38.7656292727464,38.23362789837,36.1009207105408
"October","Olorunda","Osun",25.4663338196214,27.5929292254466,30.905485010964,35.0919422699871,37.7933165751864,38.9998648297086,38.0767191394342,35.4936765328575
"October","Oriade","Osun",25.0403749769524,27.0319922283399,30.229661366592,34.4025924360351,37.2064320613414,38.1730973973528,36.8692148028131,34.5345271599699
"October","Orolu","Osun",24.9682868421829,26.927560186005,30.0926604701206,34.2396096788151,36.9930395400228,37.8811245808178,36.5615693473847,33.6127575830251
"October","Osogbo","Osun",26.43896328997,28.7118696520113,32.1738431952471,36.456912313066,39.138047004699,40.5609510842181,39.9663844388991,37.6452892414859
