"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"February","Afijio","Oyo",19.9093233120285,20.5752794035554,21.1894177500182,22.1331638523509,22.7563614607773,23.9569020929566,25.9825833331725,30.3383651623874
"February","Akinyele","Oyo",19.903218811378,20.643240348687,21.2928479416899,22.1961835554418,22.6429381690813,23.7939194816785,25.7632690750141,30.1055679983634
"February","Atiba","Oyo",20.4832929741917,21.0896393296328,21.7025332814109,22.6259207052334,22.72237312013,23.2738520480554,25.1709385474348,29.5430370398214
"February","Atisbo","Oyo",21.1074744111449,21.6927039073802,22.3093619752031,23.2588012262018,23.1809806349468,23.8415580532509,25.8108525853352,30.1010164478906
"February","Egbeda","Oyo",20.0875096442507,21.1684048346063,21.9389425645989,23.0211380134608,23.6799740627852,24.9794815316616,27.0939464437033,31.5838983905717
"February","IbadanNorth","Oyo",19.3813857218497,19.980647870606,20.5656746530526,21.4517724340481,21.4111637144059,22.4949864981189,24.4427218372638,28.2815245658624
"February","IbadanNorth-East","Oyo",20.8348694919416,21.5216133397477,22.1680106093898,23.0930666130536,23.1211377676046,24.0522554784266,25.941030433417,29.7485105011785
"February","IbadanNorth-West","Oyo",19.4231100706542,20.0279017816341,20.6195090640154,21.4600432458116,21.7375930702833,22.9805108882667,24.9959795704573,29.0163279195015
"February","IbadanSouth-West","Oyo",19.3711471069193,20.0560520191205,20.6722327678562,21.5652595653925,21.907562362355,23.097592552019,25.1127783335239,29.2613253604672
"February","Ibarapa Central","Oyo",19.8589682793729,20.3805198302713,20.924897323677,21.9467154537083,22.8259158747938,24.1413888125306,26.3147350282884,30.8076025693497
"February","Ibarapa East","Oyo",19.4083516554689,19.9050239546137,20.4484614507245,21.3983752301841,22.3076014342555,23.776904830885,26.0720494806533,30.6896130861506
"February","Ibarapa North","Oyo",19.516322169792,20.0172219628552,20.5654156604054,21.4294560138074,21.6534788395032,23.0310613005492,25.2917752678241,29.7873494252767
"February","Ido","Oyo",19.5276077863735,20.1140887124345,20.6913336003879,21.5962972456125,22.12443251742,23.4562343380819,25.5621526243801,30.0233744948912
"February","Irepo","Oyo",21.2168404369179,21.6405384420486,22.1801887800075,23.1452197212569,22.7517827658878,22.4201664445141,23.8997809278383,27.6655907155363
"February","Iseyin","Oyo",19.5393339914811,20.0416697971185,20.5892403283707,21.4560058921146,21.9742424274394,23.1353799621708,25.2882140133357,29.8124859221349
"February","Itesiwaju","Oyo",20.7085975872531,21.278125358093,21.8831736231703,22.798374569385,22.8276349992571,23.551093401188,25.5633043312207,30.0571718010573
"February","Iwajowa","Oyo",20.4695326648667,20.9831667306582,21.5561244627524,22.4652949842304,22.806928646694,23.9198015154275,26.170432961247,30.7860318032939
"February","Kajola","Oyo",20.2733465050021,20.8310651035797,21.4202764328656,22.3064657114293,22.5656348411916,23.4895426051636,25.5719350291522,30.0777166888606
"February","Lagelu","Oyo",19.8627883241566,20.6782629430104,21.3538123828805,22.3527015801474,22.9145361967736,24.1308304611148,26.1492639741448,30.5023757880235
"February","Ogbomosho North","Oyo",20.9720785132404,21.5626728045944,22.18112213291,23.1165747698393,23.4149824987616,23.8815004170127,25.7804455980288,30.1278610029761
"February","Ogbomosho South","Oyo",21.110805327892,21.6889003803422,22.2961447732222,23.3268486138276,23.8826217399915,24.4350747130154,26.4243328181512,30.9014270383923
"February","Ogo-Oluw","Oyo",20.0338547539696,20.6975857678819,21.3273847929946,22.3190977975809,22.9621563416289,23.9027534124199,25.9005179248538,30.2520890657482
"February","Olorunsogo","Oyo",20.7759223237604,21.2456011543764,21.7984071994468,22.7203696627725,22.460067867184,22.6100334408521,24.5644650134736,28.6795039701291
"February","Oluyole","Oyo",20.1306367273984,21.0782485130575,21.777455175312,22.9313456276889,23.6933840829101,24.9715562573611,27.1652572031465,31.7690582064676
"February","Ona-Ara","Oyo",20.1095319902106,21.2866375301443,22.1124096192941,23.3283083689638,23.7906321746756,24.6018313204374,26.5916088648403,31.1009935613199
"February","Orelope","Oyo",20.6397449201485,21.1349450298312,21.7015605268873,22.6417440272552,22.3065447837036,22.232174235022,23.885052499083,27.6642743523093
"February","Ori-Ire","Oyo",20.9487749278464,21.4744916988495,22.062123444476,23.0013342844215,23.2114368563214,23.832311990944,25.9053629294082,30.3443194164615
"February","Oyo East","Oyo",19.9113319983777,20.5083206831411,21.1109192956082,22.0075510791546,22.6677371747254,23.7782908358557,25.8080964961037,30.1843661566464
"February","Oyo West","Oyo",19.7006095851608,20.2385943552925,20.811445135041,21.6667692140502,22.1700122200895,23.0609856188443,25.2171097787266,29.8410236285714
"February","Saki East","Oyo",20.755689077125,21.2610283693017,21.8341148014394,22.7743217904755,22.4858280948346,22.6669773741789,24.4324856101684,28.3669935158582
"February","Saki West","Oyo",21.0168537606337,21.531348729804,22.1145089930143,23.0739038762564,22.8153115919643,23.3057478631263,25.2288630108314,29.257545192808
"February","Surulere","Oyo",20.9114811512957,21.5899729849399,22.2444083867649,23.1779070988468,23.511063506739,24.2253268055778,26.2504217528749,30.6877151497643
