"plm","NAME_2","NAME_1","Harvest_8","Harvest_9","Harvest_10","Harvest_11","Harvest_12","Harvest_13","Harvest_14","Harvest_15"
"May","Afijio","Oyo",13.2084431041596,13.4311353011863,14.2171532069492,15.508902836245,18.0626395236057,21.4930828723221,24.3697125441768,28.7107166369588
"May","Akinyele","Oyo",13.1436904108594,13.2770842845736,13.9057695492012,15.1376922393028,17.9222841346856,21.6505908862708,24.7104500101562,29.2500723103677
"May","Atiba","Oyo",12.9960618634577,12.8954385855147,13.1157643285523,14.1184889418019,16.9636576084778,20.8543398792303,24.121831213529,28.8348259467846
"May","Atisbo","Oyo",13.1237239783743,12.9704374796543,13.4573951697279,14.8518833749481,17.8914514349745,22.0034117433161,25.3849384048751,30.3078097815334
"May","Egbeda","Oyo",14.3377095677847,14.4084151168543,14.6595454296993,15.3224325309139,17.8158007723321,21.4485198453459,24.2711301015548,28.5586613712424
"May","IbadanNorth","Oyo",11.4720324008053,11.5955084748792,12.5766780676141,14.1258304564304,17.249993784807,21.2161557769927,24.2186712686476,28.6968058395393
"May","IbadanNorth-East","Oyo",13.2327565891341,13.3645167894836,14.3700264864709,15.9498169905927,19.1486481868415,23.3628991818468,26.5188883495672,31.2184998659861
"May","IbadanNorth-West","Oyo",11.5439309230481,11.6065072934727,12.5615939841587,14.1676605288511,17.2918253189703,21.3648949069929,24.4617361274164,29.0341224219499
"May","IbadanSouth-West","Oyo",11.8314976473226,11.8880170025848,12.4372603124934,13.8573038450616,16.9375161552338,20.9816564919996,24.1273475279875,28.7141834665278
"May","Ibarapa Central","Oyo",12.3243040511998,12.3729648397249,12.7896824462452,13.9765921604253,16.9392606230323,20.6215760198226,23.5225389675149,27.8257265647387
"May","Ibarapa East","Oyo",12.4155922138909,13.0492888436253,14.191060351813,15.6362882744986,18.4594796879698,21.7638874860206,24.3094990279202,28.2412674762383
"May","Ibarapa North","Oyo",12.3547280817667,12.8207323681249,13.7324653738144,14.9555442326088,17.5402140567236,20.935226870402,23.7432087270303,28.0350128569892
"May","Ido","Oyo",12.2727775684424,12.2920921313857,12.7603359457961,14.0269202366986,16.9139443020598,20.6504539459115,23.6237193023765,28.0274200161319
"May","Irepo","Oyo",11.8044699581967,11.5598478078917,11.8409672745846,13.1586779236564,16.1825072670338,20.0984864656713,23.6887285622787,29.0530961252313
"May","Iseyin","Oyo",12.2974409211042,12.7547564413013,13.8231840584158,15.280908412457,18.1687343654055,21.643405679615,24.3713960352623,28.5567538393907
"May","Itesiwaju","Oyo",12.9843154944942,12.8868116588624,13.3101644282372,14.5472539984845,17.5301162207405,21.4483643511246,24.684724079726,29.394825322205
"May","Iwajowa","Oyo",12.5499858326803,12.6257928151491,13.3029084466951,14.7233971789835,17.8607091511968,21.9025070703683,25.1721916273228,29.9451953175231
"May","Kajola","Oyo",12.627457415532,12.5811068820554,13.1877895094542,14.6676074558362,17.8796893673375,21.8222136861433,24.9585632266999,29.5822199774564
"May","Lagelu","Oyo",13.3196480204657,13.3755641367112,13.7068267443882,14.5818529371793,17.3493903818874,21.2495651881752,24.3440522253647,28.9126229259894
"May","Ogbomosho North","Oyo",13.0551961312886,12.9775215472794,13.4171879006476,14.9405059752491,18.1972273286527,22.3844571363195,25.9137937495844,30.9690696317627
"May","Ogbomosho South","Oyo",13.4831468700873,13.4803147212508,13.7912689334506,15.077308594192,18.4121338313702,22.6039426206697,26.0857684649394,31.0888862338494
"May","Ogo-Oluw","Oyo",13.3969697407539,13.4814084009074,13.825207588109,14.7517076748377,17.56509439942,21.3839132715003,24.4772492392419,29.0668002382367
"May","Olorunsogo","Oyo",12.2646193993658,12.0590628309863,12.4524071338316,13.8226125576421,16.9386944384638,20.8353568465095,24.080270038603,28.987758922488
"May","Oluyole","Oyo",14.1122730024034,14.2008922930246,14.4364567524134,15.0454839497936,17.5102034648278,21.2691000313645,24.3470248055195,28.8627462584366
"May","Ona-Ara","Oyo",15.4445909280268,15.7252471856965,16.1613429362958,16.7526866494394,18.662208295807,21.7614178383086,24.3736337805168,28.4635197119527
"May","Orelope","Oyo",12.0743294656959,11.9261326732962,12.3379216162679,13.6200758546761,16.5374263932019,20.1933711840338,23.3447813475259,28.381399735743
"May","Ori-Ire","Oyo",12.8667339275601,12.8186059459025,13.2827385979091,14.6897597848527,17.8727314119395,21.9721547710959,25.4047618575358,30.343530397718
"May","Oyo East","Oyo",13.2435093833806,13.3389892946081,13.7664433302836,14.8082422062007,17.5051169741445,21.1638714939202,24.0590126478947,28.4225682098955
"May","Oyo West","Oyo",12.2798960349682,12.3047407252003,12.8167862827122,14.0937096608149,17.0434587119728,20.7417671605448,23.6945576063598,28.0961309011193
"May","Saki East","Oyo",12.3016625859735,12.211071914063,12.7386282630504,14.1112519584654,17.1418556008209,21.0093116395376,24.214082554711,28.9927460329899
"May","Saki West","Oyo",12.6682620139584,12.5022004129066,13.1174975341685,14.6325544251481,17.7879187366422,21.8929059856858,25.3742949503407,30.3743368099736
"May","Surulere","Oyo",13.4625938345072,13.4896094887169,14.0313481364584,15.4617373156797,18.6619857319282,22.7682212912452,26.0830338487206,30.9346104231453
